ticker,company,date_range,total_articles,average_sentiment,sentiment_std,last_week_sentiment,last_month_sentiment,positive_ratio,negative_ratio,latest_update
IMCR,Immunocore Holdings plc,2025-06-17 to 2025-07-01,6,0.44788059592247015,0.28434957423159163,,0.44788059592247015,0.3333333333333333,0.0,2025-07-01 16:50:00
GPCR,Structure Therapeutics Inc.,2025-06-21 to 2025-07-03,3,0.41955132484436036,0.09243100415337277,,0.41955132484436036,0.3333333333333333,0.0,2025-07-03 17:09:10
TX,Ternium S.A.,2025-06-17 to 2025-07-09,4,0.3928567260503769,0.3728206147606195,0.8975465416908264,0.3928567260503769,0.75,0.0,2025-07-09 06:46:51
BHVN,Biohaven Pharmaceutical Holding Co Ltd.,2025-06-29 to 2025-06-29,1,0.35993275642395023,,,0.35993275642395023,1.0,0.0,2025-06-29 10:54:28
DAR,DARLING INGREDIENTS INC.,2025-06-14 to 2025-07-10,23,0.3539510664732559,0.28492568535914553,0.0,0.3539510664732559,0.34782608695652173,0.0,2025-07-10 22:15:00
LVO,LiveOne Inc.,2025-06-18 to 2025-07-08,13,0.33842383439724255,0.48413733825476285,0.6548313339551289,0.33842383439724255,0.46153846153846156,0.07692307692307693,2025-07-08 17:50:38
ARX,ARC Resources Ltd.,2025-07-07 to 2025-07-07,1,0.32470428943634033,,0.32470428943634033,0.32470428943634033,0.0,0.0,2025-07-07 12:33:02
LFST, LIFESTANCE HEALTH GROUP,2025-06-16 to 2025-07-11,11,0.32428818399255926,0.5555242004663768,-0.05059394041697185,0.32428818399255926,0.36363636363636365,0.18181818181818182,2025-07-11 21:30:52
SNDX,Syndax Pharmaceuticals Inc.,2025-06-13 to 2025-07-09,12,0.2915994515021642,0.3062503917870754,0.5483641564846039,0.28760963678359985,0.4166666666666667,0.0,2025-07-09 06:55:02
CLS,CELESTICA INC.,2025-06-13 to 2025-07-11,39,0.2876875238540845,0.3195987968611089,0.4012623482280307,0.2876875238540845,0.23076923076923078,0.0,2025-07-11 15:30:03
